experiment,contact_duration,cap_ID,infected,distance,time
1,1h,100,0,1.427346125,2
1,1h,100,0,0.978005197,2
1,1h,100,0,0.974848925,1
1,1h,100,0,1.298035241,1
1,1h,100,0,0.632444169,1
1,1h,100,0,0.76886465,1
1,1h,100,0,0.924647244,1
1,1h,100,0,1.107526911,1
1,1h,100,0,1.311898528,1
1,1h,100,0,1.496777011,1
1,1h,100,0,0.602395303,1
1,1h,100,0,1.402619749,1
1,1h,100,0,1.383601755,1
1,1h,100,0,1.032327244,1
1,1h,100,0,0.567045352,1
1,1h,100,0,1.30770034,1
1,1h,100,0,1.181725261,1
1,1h,100,0,0.903150292,1
1,1h,100,0,1.082658685,1
1,1h,100,0,1.344063777,1
1,1h,116,0,0.602691792,3
1,1h,116,0,1.077121601,2
1,1h,116,0,1.282431269,2
1,1h,116,0,1.312474017,2
1,1h,116,0,1.315713879,2
1,1h,116,0,1.263352121,1
1,1h,116,0,1.420224097,1
1,1h,116,0,0.88179529,1
1,1h,116,0,0.800193837,1
1,1h,116,0,0.944823801,1
1,1h,116,0,1.190655352,1
1,1h,116,0,1.361985648,1
1,1h,116,0,0.628420973,1
1,1h,116,0,1.055965383,1
1,1h,116,0,1.167489164,1
1,1h,116,0,0.594896088,1
1,1h,116,0,1.003821533,1
1,1h,116,0,1.346699126,1
1,1h,116,0,1.347392594,1
1,1h,116,0,0.788722811,1
1,1h,116,0,0.404524321,1
1,1h,116,0,0.861092586,1
1,1h,116,0,0.669328459,1
1,1h,116,0,0.82198216,1
1,1h,116,0,0.954321078,1
1,1h,116,0,1.485661192,1
1,1h,116,0,1.101669864,1
1,1h,116,0,1.462424136,1
1,1h,116,0,1.008722884,1
1,1h,116,0,1.432342767,1
1,1h,116,0,1.487987581,1
1,1h,116,0,0.773412434,1
1,1h,116,0,1.312157982,1
1,1h,116,0,1.189260499,1
1,1h,255,0,1.081464377,5
1,1h,255,0,0.900569182,4
1,1h,255,0,0.709064915,3
1,1h,255,0,1.391520023,3
1,1h,255,0,1.080247777,2
1,1h,255,0,1.174632321,2
1,1h,255,0,1.375979242,2
1,1h,255,0,0.870671566,2
1,1h,255,0,0.679311438,1
1,1h,255,0,0.880477674,1
1,1h,255,0,0.73892133,1
1,1h,255,0,1.321408643,1
1,1h,255,0,1.159100346,1
1,1h,255,0,0.929680588,1
1,1h,255,0,0.781800122,1
1,1h,255,0,1.066223299,1
1,1h,255,0,1.24597639,1
1,1h,255,0,1.02227192,1
1,1h,255,0,1.287640037,1
1,1h,255,0,1.421650387,1
1,1h,255,0,0.910305094,1
1,1h,255,0,0.770975946,1
1,1h,255,0,1.005372162,1
1,1h,255,0,1.457069945,1
1,1h,255,0,0.811108536,1
1,1h,255,0,1.182763838,1
1,1h,255,0,0.705304343,1
1,1h,255,0,1.330810997,1
1,1h,255,0,1.115469423,1
1,1h,255,0,1.457108261,1
1,1h,255,0,0.801844182,1
1,1h,255,0,0.420180449,1
1,1h,255,0,0.698442384,1
1,1h,449,0,0.495021565,5
1,1h,449,0,0.437088379,3
1,1h,449,0,0.485999928,3
1,1h,449,0,0.61919497,2
1,1h,449,0,1.345387816,2
1,1h,449,0,0.569615421,2
1,1h,449,0,0.424433854,2
1,1h,449,0,1.177661322,2
1,1h,449,0,0.698079191,2
1,1h,449,0,1.135346555,1
1,1h,449,0,1.364266053,1
1,1h,449,0,0.610787176,1
1,1h,449,0,0.899089917,1
1,1h,449,0,1.206627836,1
1,1h,449,0,0.620437009,1
1,1h,449,0,1.003240283,1
1,1h,449,0,0.456592673,1
1,1h,449,0,0.926795688,1
1,1h,449,0,1.088806853,1
1,1h,449,0,0.468386129,1
1,1h,449,0,1.298063427,1
1,1h,449,0,1.488852443,1
1,1h,449,0,0.308183387,1
1,1h,449,0,0.950805873,1
1,1h,449,0,0.716728152,1
1,1h,449,0,1.485359154,1
1,1h,449,0,1.417071531,1
1,1h,449,0,1.3075735,1
1,1h,449,0,1.050227666,1
1,1h,449,0,1.164297536,1
1,1h,449,0,1.443019711,1
1,1h,449,0,1.114615674,1
1,1h,449,0,0.836938543,1
1,1h,449,0,1.183566374,1
1,1h,449,0,0.943397189,1
1,1h,449,0,0.736939697,1
1,1h,3008,0,1.395166951,1
1,1h,3310,0,0.857873388,4
1,1h,3310,0,1.426429863,2
1,1h,3310,0,1.414071885,2
1,1h,3310,0,0.724013037,2
